Product,Price,Discount,Ratings,Reviews Count,Category,Link
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","38,490",-27%,4.0 out of 5 stars,488 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTI0OTQwNzg1NTg0ODQyOjE3NTgwMTc0MjA6c3BfYXRmOjMwMDYxODExMzIwNzQzMjo6MDo6&url=%2FHP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU%2Fdp%2FB0F4R3GFMQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFSd1is8-PYgvv_TCn9Jg_P2nw0-WjHVTMjGJCLJzhGpJgHDTo2VhUpJgqJIaXL4wzLLSnMveXRi_dn14gebfFfT6VgMy_3ffFaHq4vnTrV_89vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDeDeFQH-Eb1UbQlGOJlbh-bKjsLxKtlU3lT-_p-6n4G8.nvL32EaNvomO2S20RbQ3RAMkGJED8BZcqr7jK3AwAhc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1758017420%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=NDHqna14oy&sp_cr=ZAZ
"HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win 11, Office 24, Silver, 1.59kg, fd0467tu, Iris Xe Graphics, FHD Camera, Backlit KB Laptop","55,990",-24%,3.7 out of 5 stars,60 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTI0OTQwNzg1NTg0ODQyOjE3NTgwMTc0MjA6c3BfYXRmOjMwMDY3MjU4NTE2MzQzMjo6MDo6&url=%2FHP-i5-1334U-Microsoft-Graphics-fd0467tu%2Fdp%2FB0DTK9DZB4%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFSd1is8-PYgvv_TCn9Jg_P2nw0-WjHVTMjGJCLJzhGpJgHDTo2VhUpJgqJIaXL4wzLLSnMveXRi_dn14gebfFfT6VgMy_3ffFaHq4vnTrV_89vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDeDeFQH-Eb1UbQlGOJlbh-bKjsLxKtlU3lT-_p-6n4G8.nvL32EaNvomO2S20RbQ3RAMkGJED8BZcqr7jK3AwAhc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1758017420%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=mwmKU0ULtO&sp_cr=ZAZ
,"1,39,990",,,,,https://www.amazon.in/ASUS-5050-8GB-Windows-Eclipse-G614PH-RV033WS/dp/B0FB9G9XVG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFSd1is8-PYgvv_TCn9Jg_P2nw0-WjHVTMjGJCLJzhGpJgHDTo2VhUpJgqJIaXL4wzLLSnMveXRi_dn14gebfFfT6VgMy_3ffFaHq4vnTrV_89vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDeDeFQH-Eb1UbQlGOJlbh-bKjsLxKtlU3lT-_p-6n4G8.nvL32EaNvomO2S20RbQ3RAMkGJED8BZcqr7jK3AwAhc&dib_tag=se&keywords=laptop&qid=1758017420&sr=8-3
,"66,435",,,,,https://www.amazon.in/HP-Pavilion-i5-1335U-Laptop-Touchscreen/dp/B0CJ2KWNNQ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFSd1is8-PYgvv_TCn9Jg_P2nw0-WjHVTMjGJCLJzhGpJgHDTo2VhUpJgqJIaXL4wzLLSnMveXRi_dn14gebfFfT6VgMy_3ffFaHq4vnTrV_89vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDeDeFQH-Eb1UbQlGOJlbh-bKjsLxKtlU3lT-_p-6n4G8.nvL32EaNvomO2S20RbQ3RAMkGJED8BZcqr7jK3AwAhc&dib_tag=se&keywords=laptop&qid=1758017420&sr=8-4
,"22,490",,,,,https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_5?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFSd1is8-PYgvv_TCn9Jg_P2nw0-WjHVTMjGJCLJzhGpJgHDTo2VhUpJgqJIaXL4wzLLSnMveXRi_dn14gebfFfT6VgMy_3ffFaHq4vnTrV_89vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDeDeFQH-Eb1UbQlGOJlbh-bKjsLxKtlU3lT-_p-6n4G8.nvL32EaNvomO2S20RbQ3RAMkGJED8BZcqr7jK3AwAhc&dib_tag=se&keywords=laptop&qid=1758017420&sr=8-5
,"37,990",,,,,https://www.amazon.in/ASUS-Vivobook-Laptop-Windows-E1404FA-NK5542WS/dp/B0DTY1C216/ref=sr_1_6?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFSd1is8-PYgvv_TCn9Jg_P2nw0-WjHVTMjGJCLJzhGpJgHDTo2VhUpJgqJIaXL4wzLLSnMveXRi_dn14gebfFfT6VgMy_3ffFaHq4vnTrV_89vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDeDeFQH-Eb1UbQlGOJlbh-bKjsLxKtlU3lT-_p-6n4G8.nvL32EaNvomO2S20RbQ3RAMkGJED8BZcqr7jK3AwAhc&dib_tag=se&keywords=laptop&qid=1758017420&sr=8-6
,"59,990",,,,,https://www.amazon.in/Acer-ALG-Intel-Core-13th/dp/B0DXVGVNKN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFSd1is8-PYgvv_TCn9Jg_P2nw0-WjHVTMjGJCLJzhGpJgHDTo2VhUpJgqJIaXL4wzLLSnMveXRi_dn14gebfFfT6VgMy_3ffFaHq4vnTrV_89vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDeDeFQH-Eb1UbQlGOJlbh-bKjsLxKtlU3lT-_p-6n4G8.nvL32EaNvomO2S20RbQ3RAMkGJED8BZcqr7jK3AwAhc&dib_tag=se&keywords=laptop&qid=1758017420&sr=8-7
,"36,990",,,,,https://www.amazon.in/Dell-Inspiron-3530-i3-1305U-Comfortview/dp/B0C4ZM63RP/ref=sr_1_8?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFSd1is8-PYgvv_TCn9Jg_P2nw0-WjHVTMjGJCLJzhGpJgHDTo2VhUpJgqJIaXL4wzLLSnMveXRi_dn14gebfFfT6VgMy_3ffFaHq4vnTrV_89vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDeDeFQH-Eb1UbQlGOJlbh-bKjsLxKtlU3lT-_p-6n4G8.nvL32EaNvomO2S20RbQ3RAMkGJED8BZcqr7jK3AwAhc&dib_tag=se&keywords=laptop&qid=1758017420&sr=8-8
,"31,490",,,,,https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_9?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFSd1is8-PYgvv_TCn9Jg_P2nw0-WjHVTMjGJCLJzhGpJgHDTo2VhUpJgqJIaXL4wzLLSnMveXRi_dn14gebfFfT6VgMy_3ffFaHq4vnTrV_89vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDeDeFQH-Eb1UbQlGOJlbh-bKjsLxKtlU3lT-_p-6n4G8.nvL32EaNvomO2S20RbQ3RAMkGJED8BZcqr7jK3AwAhc&dib_tag=se&keywords=laptop&qid=1758017420&sr=8-9
,"62,990",,,,,https://www.amazon.in/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_10?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFSd1is8-PYgvv_TCn9Jg_P2nw0-WjHVTMjGJCLJzhGpJgHDTo2VhUpJgqJIaXL4wzLLSnMveXRi_dn14gebfFfT6VgMy_3ffFaHq4vnTrV_89vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDeDeFQH-Eb1UbQlGOJlbh-bKjsLxKtlU3lT-_p-6n4G8.nvL32EaNvomO2S20RbQ3RAMkGJED8BZcqr7jK3AwAhc&dib_tag=se&keywords=laptop&qid=1758017420&sr=8-10
