Product,Price,Discount,Ratings,Reviews Count,Category,Link
"hp omnibook 5 oled (previously pavilion), snapdragon x processor (16gb lpddr5x, 1tb ssd) 2k, 14''/35.6cm, win11, m365 basic(1yr)* office24, silver, 1.35kg, he0015qu, light-weight, next-gen ai laptop",72490.0,18.0,4.0,29,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTU0NjA0MjkzMDczNDIyOjE3NTgwMzA2ODM6c3BfYXRmOjMwMDcwMzkyOTIzNTEzMjo6MDo6&url=%2FHP-Previously-Snapdragon-Processor-Light-Weight%2Fdp%2FB0F8P844W2%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1758030683%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=o27pt7Qmd0&sp_cr=ZAZ
"hp 15, 13th gen intel core i5-1334u (16gb ddr4, 512gb ssd) anti-glare, micro-edge, 15.6''/39.6cm, fhd, win 11, office 24, silver, 1.59kg, fd0467tu, iris xe graphics, fhd camera, backlit kb laptop",55990.0,24.0,3.7,60,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTU0NjA0MjkzMDczNDIyOjE3NTgwMzA2ODM6c3BfYXRmOjMwMDY3MjU4NTE2MzQzMjo6MDo6&url=%2FHP-i5-1334U-Microsoft-Graphics-fd0467tu%2Fdp%2FB0DTK9DZB4%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1758030683%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=mwmKU0ULtO&sp_cr=ZAZ
"hp pavilion x360, 13th gen intel core i5-1335u (16gb ddr4, 512gb ssd) touchscreen, 14""/35.6cm, fhd, win 11, office 21, silver, 1.51kg, ek1074tu/1148tu, iris xe, fpr, 5mp camera, backlit kb laptop",66435.0,27.0,3.7,220,Computers & Accessories > › > Laptops > › > 2 in 1 Laptops,https://www.amazon.in/HP-Pavilion-i5-1335U-Laptop-Touchscreen/dp/B0CJ2KWNNQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-3
"asus rog strix g16, amd ryzen 9 8940hx, gaming laptop(rtx 5050-8gb/115w tgp/16gb ram/1tb ssd/fhd+/16""/165hz/90whr/windows 11/m365 basic (1year)*/office home 2024/eclipse gray/2.5 kg) g614ph-rv033ws",139990.0,3.0,5.0,4,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/ASUS-5050-8GB-Windows-Eclipse-G614PH-RV033WS/dp/B0FB9G9XVG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-4
"acer [smartchoice aspire 3 laptop intel core celeron n4500 processor laptop (8 gb lpddr4x sdram/512 gb ssd/win11 home/38 whr/hd webcam) a325-45 with 39.63 cm (15.6"") hd display, pure silver, 1.5 kg",22490.0,34.0,3.4,526,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-5
"acer alg, intel core i5 13th gen - 13420h, nvidia geforce rtx 3050-6gb ddr6, 16gb ram, 512gb ssd, fhd 15.6""/39.62 cm, 144hz, windows 11 home, steel gray, 1.99 kg, al15g-53,gaming laptop",59990.0,20.0,4.0,74,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/Acer-ALG-Intel-Core-13th/dp/B0DXVGVNKN/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-6
"asus vivobook go 14, amd ryzen 5 7520u,thin & light laptop (amd radeon igpu/16gb ram/512gb ssd/fhd/14/60hz/42whrs/windows 11/m365 basic (1year)*/office home 2024/mixed black/1.38 kg) e1404fa-nk5542ws",37990.0,28.0,3.8,63,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/ASUS-Vivobook-Laptop-Windows-E1404FA-NK5542WS/dp/B0DTY1C216/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-7
"dell 15 thin & light laptop, 13th generation intel core i3-1305u processor, 8gb ddr4 + 512gb ssd, 15.6"" (39.62cm) fhd 120hz 250 nits display, windows 11 + mso'24, 12 month mcafee, grey, 1.69kg",36990.0,25.0,4.0,271,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/Dell-Inspiron-3530-i3-1305U-Comfortview/dp/B0C4ZM63RP/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-8
"hp 255 g10 amd athlon dual core 7120u - (8 gb/256 gb ssd/windows 11 home) thin and light laptop (15.6 inch, ash silver, 1.35 kg)",22390.0,26.0,3.6,98,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/HP-%E2%80%8E%E2%80%8ELaptop-Athlon-Silver-Windows/dp/B0DV984J97/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-9
"hp 15, amd ryzen 3 7320u (8gb lpddr5, 512gb ssd) fhd, anti-glare, micro-edge, 15.6""/39.6cm, win 11, office 21, silver, 1.59kg, fc0154au, amd radeon graphics, 1080p fhd camera laptop",31490.0,35.0,3.6,179,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-10
